#options: 2560x1440 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=11000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:18.51 aq:11.82 tex:6969884 mv:588965 misc:775 imb:14400 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:22.62 aq:15.93 tex:2351610 mv:68064 misc:2102 imb:1190 pmb:12968 smb:242 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:22.62 aq:19.47 tex:268981 mv:70020 misc:10063 imb:130 pmb:10759 smb:3511 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:22.62 aq:21.13 tex:64025 mv:56092 misc:10435 imb:124 pmb:9975 smb:4301 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:22.62 aq:21.11 tex:113809 mv:29850 misc:13533 imb:40 pmb:6215 smb:8145 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:23.17 aq:16.29 tex:2229514 mv:68060 misc:2898 imb:1043 pmb:12834 smb:523 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:22.89 aq:19.66 tex:327765 mv:60045 misc:11974 imb:80 pmb:9784 smb:4536 d:s ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:22.75 aq:21.38 tex:83502 mv:66342 misc:10092 imb:41 pmb:9889 smb:4470 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:23.03 aq:21.27 tex:94227 mv:29041 misc:13100 imb:31 pmb:5337 smb:9032 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:23.63 aq:16.65 tex:1989973 mv:64853 misc:3630 imb:814 pmb:12687 smb:899 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:23.40 aq:20.05 tex:319106 mv:77700 misc:8234 imb:68 pmb:11283 smb:3049 d:s ref:0 ;
